Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 246.04s | Raw0: 0.33 m | Raw1: 0.32 m | Filtered0: 0.324524 m | Filtered1: 0.321813 m | Middle: 0.324489 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 247.14s | Raw0: 0.32 m | Raw1: 0.32 m | Filtered0: 0.324255 m | Filtered1: 0.321998 m | Middle: 0.324230 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 247.26s | Raw0: 0.32 m | Raw1: 0.30 m | Filtered0: 0.323998 m | Filtered1: 0.320983 m | Middle: 0.323955 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 248.45s | Raw0: 0.31 m | Raw1: 0.30 m | Filtered0: 0.323360 m | Filtered1: 0.320035 m | Middle: 0.323308 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 248.57s | Raw0: 0.31 m | Raw1: 0.28 m | Filtered0: 0.322726 m | Filtered1: 0.317989 m | Middle: 0.322621 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 249.66s | Raw0: 0.30 m | Raw1: 0.28 m | Filtered0: 0.321682 m | Filtered1: 0.315973 m | Middle: 0.321530 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 249.79s | Raw0: 0.30 m | Raw1: 0.27 m | Filtered0: 0.320617 m | Filtered1: 0.313388 m | Middle: 0.320375 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 250.98s | Raw0: 0.28 m | Raw1: 0.27 m | Filtered0: 0.318611 m | Filtered1: 0.310846 m | Middle: 0.318334 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 251.10s | Raw0: 0.28 m | Raw1: 0.26 m | Filtered0: 0.316483 m | Filtered1: 0.307710 m | Middle: 0.316133 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 252.20s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.313732 m | Filtered1: 0.304654 m | Middle: 0.313361 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 252.32s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.310901 m | Filtered1: 0.301729 m | Middle: 0.310526 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 253.51s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.308071 m | Filtered1: 0.298968 m | Middle: 0.307705 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 253.63s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.305306 m | Filtered1: 0.297145 m | Middle: 0.305013 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 254.73s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.302651 m | Filtered1: 0.295491 m | Middle: 0.302428 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 254.85s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.300137 m | Filtered1: 0.293991 m | Middle: 0.299973 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 256.14s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.297780 m | Filtered1: 0.292630 m | Middle: 0.297665 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 256.26s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.295588 m | Filtered1: 0.290701 m | Middle: 0.295485 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 257.26s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.293561 m | Filtered1: 0.288905 m | Middle: 0.293468 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 257.38s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.291694 m | Filtered1: 0.287931 m | Middle: 0.291634 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 258.67s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.289981 m | Filtered1: 0.287052 m | Middle: 0.289945 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 258.79s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.288412 m | Filtered1: 0.286257 m | Middle: 0.288392 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 259.78s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.286976 m | Filtered1: 0.285536 m | Middle: 0.286967 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 259.90s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.285662 m | Filtered1: 0.284880 m | Middle: 0.285660 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 261.20s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.284462 m | Filtered1: 0.284281 m | Middle: 0.284461 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 261.32s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.283363 m | Filtered1: 0.283156 m | Middle: 0.283363 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 262.32s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.282358 m | Filtered1: 0.282094 m | Middle: 0.282358 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 262.43s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.281438 m | Filtered1: 0.281672 m | Middle: 0.281438 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 263.73s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.280594 m | Filtered1: 0.281288 m | Middle: 0.280592 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 263.85s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.279819 m | Filtered1: 0.280396 m | Middle: 0.279818 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 264.85s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.279107 m | Filtered1: 0.279552 m | Middle: 0.279106 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 264.97s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.278452 m | Filtered1: 0.278756 m | Middle: 0.278452 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 266.26s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.277848 m | Filtered1: 0.278006 m | Middle: 0.277848 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 266.38s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.277291 m | Filtered1: 0.277835 m | Middle: 0.277290 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 267.37s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.276776 m | Filtered1: 0.277679 m | Middle: 0.276773 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 267.49s | Raw0: 0.27 m | Raw1: 0.27 m | Filtered0: 0.276300 m | Filtered1: 0.277537 m | Middle: 0.276293 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 268.79s | Raw0: 0.26 m | Raw1: 0.27 m | Filtered0: 0.275339 m | Filtered1: 0.277406 m | Middle: 0.275322 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 268.91s | Raw0: 0.26 m | Raw1: 0.28 m | Filtered0: 0.274418 m | Filtered1: 0.277744 m | Middle: 0.274373 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 269.90s | Raw0: 0.26 m | Raw1: 0.28 m | Filtered0: 0.273539 m | Filtered1: 0.278061 m | Middle: 0.273456 m | Expected: 0.313790 m | Method: direct | Mode: TEST
