Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 35.22s | Raw0: 0.78 m | Raw1: 0.74 m | Filtered0: 0.780000 m | Filtered1: 0.740000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 35.34s | Raw0: 0.78 m | Raw1: 0.73 m | Filtered0: 0.780000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: TEST
Time: 36.43s | Raw0: 0.52 m | Raw1: 0.50 m | Filtered0: 0.516393 m | Filtered1: 0.503227 m | Middle: 0.515103 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 37.80s | Raw0: 0.52 m | Raw1: 0.50 m | Filtered0: 0.519066 m | Filtered1: 0.501502 m | Middle: 0.516775 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 37.92s | Raw0: 0.52 m | Raw1: 0.50 m | Filtered0: 0.520403 m | Filtered1: 0.500640 m | Middle: 0.517506 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 38.91s | Raw0: 0.52 m | Raw1: 0.50 m | Filtered0: 0.521206 m | Filtered1: 0.500122 m | Middle: 0.517911 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 39.03s | Raw0: 0.52 m | Raw1: 0.49 m | Filtered0: 0.521741 m | Filtered1: 0.498102 m | Middle: 0.517612 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 40.33s | Raw0: 0.52 m | Raw1: 0.49 m | Filtered0: 0.522123 m | Filtered1: 0.496647 m | Middle: 0.517338 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 40.44s | Raw0: 0.52 m | Raw1: 0.49 m | Filtered0: 0.522410 m | Filtered1: 0.495549 m | Middle: 0.517099 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 41.44s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.521508 m | Filtered1: 0.494691 m | Middle: 0.516224 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 41.56s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.520781 m | Filtered1: 0.495041 m | Middle: 0.515911 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 42.85s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.519243 m | Filtered1: 0.495326 m | Middle: 0.515040 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 42.97s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.517933 m | Filtered1: 0.494695 m | Middle: 0.513971 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 43.96s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.516804 m | Filtered1: 0.494158 m | Middle: 0.513046 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 44.08s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.515823 m | Filtered1: 0.494454 m | Middle: 0.512476 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 45.38s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.514963 m | Filtered1: 0.494711 m | Middle: 0.511956 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 45.50s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.514204 m | Filtered1: 0.494936 m | Middle: 0.511482 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 46.49s | Raw0: 0.49 m | Raw1: 0.50 m | Filtered0: 0.512843 m | Filtered1: 0.495134 m | Middle: 0.510544 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 46.61s | Raw0: 0.49 m | Raw1: 0.50 m | Filtered0: 0.511598 m | Filtered1: 0.495310 m | Middle: 0.509653 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 47.90s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.511121 m | Filtered1: 0.495468 m | Middle: 0.509324 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 48.02s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.510695 m | Filtered1: 0.495609 m | Middle: 0.509026 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 49.12s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.510313 m | Filtered1: 0.495737 m | Middle: 0.508755 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 49.23s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.509968 m | Filtered1: 0.495853 m | Middle: 0.508507 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 50.43s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.510216 m | Filtered1: 0.495960 m | Middle: 0.508725 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 50.55s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.510441 m | Filtered1: 0.496057 m | Middle: 0.508922 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 51.64s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.510128 m | Filtered1: 0.496146 m | Middle: 0.508693 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 51.76s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.509840 m | Filtered1: 0.495798 m | Middle: 0.508394 m | Expected: 0.508394 m | Method: direct | Mode: TEST
