Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode 
Time: 44.04s | Raw0: 1.00 m | Raw1: 0.99 m | Filtered0: 0.987034 m | Filtered1: 0.994605 m | Middle: 0.986191 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 44.16s | Raw0: 1.00 m | Raw1: 1.00 m | Filtered0: 0.989268 m | Filtered1: 0.995046 m | Middle: 0.988777 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 45.35s | Raw0: 0.98 m | Raw1: 1.00 m | Filtered0: 0.987943 m | Filtered1: 0.995361 m | Middle: 0.987134 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 45.47s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.986948 m | Filtered1: 0.994330 m | Middle: 0.986147 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 46.56s | Raw0: 0.99 m | Raw1: 0.99 m | Filtered0: 0.987325 m | Filtered1: 0.993523 m | Middle: 0.986761 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 46.68s | Raw0: 0.99 m | Raw1: 0.99 m | Filtered0: 0.987626 m | Filtered1: 0.992875 m | Middle: 0.987222 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 47.88s | Raw0: 1.00 m | Raw1: 0.99 m | Filtered0: 0.988816 m | Filtered1: 0.992342 m | Middle: 0.988634 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 48.00s | Raw0: 1.00 m | Raw1: 0.99 m | Filtered0: 0.989823 m | Filtered1: 0.991896 m | Middle: 0.989760 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 49.09s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.989028 m | Filtered1: 0.991519 m | Middle: 0.988937 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 49.21s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.988341 m | Filtered1: 0.990439 m | Middle: 0.988277 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 50.51s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.987742 m | Filtered1: 0.989480 m | Middle: 0.987698 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 50.63s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.987216 m | Filtered1: 0.988626 m | Middle: 0.987187 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 51.62s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.986750 m | Filtered1: 0.987860 m | Middle: 0.986732 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 51.74s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.986335 m | Filtered1: 0.987170 m | Middle: 0.986325 m | Expected: 1.004223 m | Method: direct | Mode: TEST
